id,item_name,bill_date,amount
17,Sherry - Dry,2022/10/02,298
42,Liners - Baking Cups,2022/09/28,416
35,Wine - Puligny Montrachet A.,2023/03/08,187
34,Soup - Campbellschix Stew,2022/11/18,21
20,Beer - Upper Canada Light,2022/10/14,265
15,Coffee - Espresso,2023/01/24,140
29,Beef - Top Sirloin - Aaa,2022/12/26,534
13,Sobe - Lizard Fuel,2023/02/16,294
23,Blue Curacao - Marie Brizard,2023/01/10,601
26,Wine - Segura Viudas Aria Brut,2023/02/03,428
37,Beets - Golden,2023/02/17,844
50,Roe - Flying Fish,2023/02/15,442
36,Cleaner - Lime Away,2023/01/26,493
12,Table Cloth 91x91 Colour,2022/11/25,766
38,Chambord Royal,2023/03/19,774
17,Soap - Mr.clean Floor Soap,2023/01/02,379
41,Chocolate Bar - Oh Henry,2022/09/14,583
14,Oil - Sunflower,2022/11/18,79
39,Beer - Moosehead,2022/11/24,903
40,Dill Weed - Dry,2023/02/12,709
29,Lobster - Tail 6 Oz,2022/07/27,838
44,Pan Grease,2022/12/25,686
42,Bok Choy - Baby,2022/08/02,361
12,Calypso - Lemonade,2022/08/27,145
42,Apron,2022/12/30,952
42,Persimmons,2022/07/25,536
21,Wine - Chateauneuf Du Pape,2022/09/24,28
16,Cake Slab,2022/07/30,199
29,Veal - Nuckle,2022/04/10,648
4,Gelatine Powder,2022/10/29,160
45,Flavouring - Orange,2022/12/31,390
36,Fib N9 - Prague Powder,2022/12/03,721
32,Bagelers,2023/03/05,93
38,Sauce Bbq Smokey,2023/01/15,583
5,Soup - Verve - Chipotle Chicken,2023/04/04,538
35,Apples - Sliced / Wedge,2023/01/12,450
24,Foam Espresso Cup Plain White,2022/08/25,909
1,Wine - Dubouef Macon - Villages,2022/08/20,428
7,Cake Slab,2022/09/14,263
14,Cookies - Englishbay Chochip,2022/06/01,521
37,Peppercorns - Green,2022/09/20,353
25,Mushroom - Portebello,2022/09/16,27
47,Chocolate - Mi - Amere Semi,2022/09/03,727
21,Kahlua,2023/01/24,456
46,Muffin - Mix - Strawberry Rhubarb,2022/10/02,810
48,Flour - Strong,2022/05/29,277
10,Wine - Charddonnay Errazuriz,2022/06/15,914
25,Noodles - Steamed Chow Mein,2022/12/21,930
18,Shrimp - Black Tiger 13/15,2022/11/01,308
49,Pasta - Angel Hair,2022/07/23,426
30,Puree - Pear,2022/07/14,213
4,Crackers Cheez It,2022/08/14,170
12,Cheese - Mix,2022/12/27,367
35,Appetizer - Escargot Puff,2022/07/12,997
50,Table Cloth 54x72 White,2022/09/28,311
27,Lid - 0090 Clear,2022/10/24,548
46,Tomato Paste,2022/05/18,755
8,Yukon Jack,2022/05/05,503
31,Cleaner - Pine Sol,2022/08/03,356
43,Icecream - Dibs,2022/09/01,496
36,Carbonated Water - Lemon Lime,2022/05/16,835
37,Cranberry Foccacia,2022/05/05,365
14,Pie Shell - 5,2023/03/22,199
5,Energy Drink Bawls,2022/05/25,924
42,Cookies - Assorted,2022/08/19,296
19,Wine - Coteaux Du Tricastin Ac,2022/09/01,679
50,Longos - Grilled Chicken With,2022/05/26,585
12,Wine - Lou Black Shiraz,2022/04/20,841
46,Smirnoff Green Apple Twist,2023/03/26,5
43,Mace,2022/04/05,610
13,Cheese - Colby,2023/02/07,826
38,Truffle Cups - Red,2022/05/02,982
39,Ginger - Pickled,2022/09/07,256
37,Oil - Olive Bertolli,2022/04/19,20
